id,userid,tutor,interface,start_state,selection,action,input,correctness,kc_labels,time
500,8dc0b09e-3764-11ec-8dcf-a716184a8891,factoring_polynomials,factor_leading_one.html,{'initial_problem': 'x^2+2x-8'},c_value,input change,(x-2),INCORRECT,['Extract c value'],2022-01-23 19:42:37
501,8dc0b09e-3764-11ec-8dcf-a716184a8891,factoring,factor_grouping.html,{'initial_problem': '8x^2-10x-25'},,start new problem,,,,2022-01-23 19:42:55
502,8dc0b09e-3764-11ec-8dcf-a716184a8891,factoring_polynomials,factor_grouping.html,{'initial_problem': '8x^2-10x-25'},a_value,input change,8x,INCORRECT,['Extract a value'],2022-01-23 19:43:26
503,8dc0b09e-3764-11ec-8dcf-a716184a8891,factoring_polynomials,factor_grouping.html,{'initial_problem': '8x^2-10x-25'},done,button click,,INCORRECT,[],2022-01-23 19:43:26
504,8dc0b09e-3764-11ec-8dcf-a716184a8891,factoring_polynomials,factor_grouping.html,{'initial_problem': '8x^2-10x-25'},done,button click,,INCORRECT,[],2022-01-23 19:43:27
567,88d88c93-ff7a-11eb-b799-d1d9dd24efdf,factoring,factor_slip_slide.html,{'initial_problem': '5x^2+3x-2'},,start new problem,,,,2022-01-24 02:11:27
568,88d88c93-ff7a-11eb-b799-d1d9dd24efdf,factoring,factor_leading_one.html,{'initial_problem': 'x^2-3x-4'},,start new problem,,,,2022-01-24 02:12:26
569,88d88c93-ff7a-11eb-b799-d1d9dd24efdf,factoring,factor_slip_slide.html,{'initial_problem': '15x^2-26x+8'},,start new problem,,,,2022-01-24 02:12:29
590,eabeb7a1-4897-11ec-919c-8f010eb9ad68,factoring,factor_grouping.html,{'initial_problem': '4x^2+7x-15'},,start new problem,,,,2022-01-24 23:21:51
591,eabeb7a1-4897-11ec-919c-8f010eb9ad68,factoring_polynomials,factor_grouping.html,{'initial_problem': '4x^2+7x-15'},a_value,input change,16x,INCORRECT,['Extract a value'],2022-01-24 23:24:51
592,eabeb7a1-4897-11ec-919c-8f010eb9ad68,factoring_polynomials,factor_grouping.html,{'initial_problem': '4x^2+7x-15'},a_value,input change,16a,INCORRECT,['Extract a value'],2022-01-24 23:24:57
593,eabeb7a1-4897-11ec-919c-8f010eb9ad68,factoring_polynomials,factor_grouping.html,{'initial_problem': '4x^2+7x-15'},a_value,input change,1,INCORRECT,['Extract a value'],2022-01-24 23:25:07
594,eabeb7a1-4897-11ec-919c-8f010eb9ad68,factoring_polynomials,factor_grouping.html,{'initial_problem': '4x^2+7x-15'},a_value,input change,0,INCORRECT,['Extract a value'],2022-01-24 23:25:11
595,eabeb7a1-4897-11ec-919c-8f010eb9ad68,factoring,factor_leading_one.html,{'initial_problem': 'x^2+10x+25'},,start new problem,,,,2022-01-24 23:25:18
596,eabeb7a1-4897-11ec-919c-8f010eb9ad68,factoring,factor_area_box.html,{'initial_problem': '3x^2+3x-6'},,start new problem,,,,2022-01-24 23:25:22
597,eabeb7a1-4897-11ec-919c-8f010eb9ad68,factoring,factor_grouping.html,{'initial_problem': '5x^2-19x+12'},,start new problem,,,,2022-01-24 23:25:33
598,eabeb7a1-4897-11ec-919c-8f010eb9ad68,factoring_polynomials,factor_grouping.html,{'initial_problem': '5x^2-19x+12'},a_value,input change,5,HINT,['Extract a value'],2022-01-24 23:25:37
599,eabeb7a1-4897-11ec-919c-8f010eb9ad68,factoring_polynomials,factor_grouping.html,{'initial_problem': '5x^2-19x+12'},factor_1_ac_1,input change,1,INCORRECT,[],2022-01-24 23:26:02
600,eabeb7a1-4897-11ec-919c-8f010eb9ad68,factoring_polynomials,factor_grouping.html,{'initial_problem': '5x^2-19x+12'},factor_1_ac_1,input change,0,INCORRECT,[],2022-01-24 23:26:12
601,eabeb7a1-4897-11ec-919c-8f010eb9ad68,factoring_polynomials,factor_grouping.html,{'initial_problem': '5x^2-19x+12'},factor_1_ac_1,input change,r,INCORRECT,[],2022-01-24 23:26:21
610,c082959f-5882-11ec-a0cf-331922ec397a,factoring,factor_leading_one.html,{'initial_problem': 'x^2+5x+6'},,start new problem,,,,2022-01-25 18:03:38
611,c082959f-5882-11ec-a0cf-331922ec397a,factoring_polynomials,factor_leading_one.html,{'initial_problem': 'x^2+5x+6'},b_value,input change,2,INCORRECT,['Extract b value'],2022-01-25 18:04:11
612,c082959f-5882-11ec-a0cf-331922ec397a,factoring_polynomials,factor_leading_one.html,{'initial_problem': 'x^2+5x+6'},c_value,input change,3,INCORRECT,['Extract c value'],2022-01-25 18:04:14
613,c082959f-5882-11ec-a0cf-331922ec397a,factoring_polynomials,factor_leading_one.html,{'initial_problem': 'x^2+5x+6'},b_value,input change,3,INCORRECT,['Extract b value'],2022-01-25 18:04:17
614,c082959f-5882-11ec-a0cf-331922ec397a,factoring_polynomials,factor_leading_one.html,{'initial_problem': 'x^2+5x+6'},b_value,input change,1,INCORRECT,['Extract b value'],2022-01-25 18:04:23
615,c082959f-5882-11ec-a0cf-331922ec397a,factoring_polynomials,factor_leading_one.html,{'initial_problem': 'x^2+5x+6'},c_value,input change,2,INCORRECT,['Extract c value'],2022-01-25 18:04:30
654,eabeb7a1-4897-11ec-919c-8f010eb9ad68,factoring,factor_area_box.html,{'initial_problem': '6x^2+7x-5'},,start new problem,,,,2022-01-26 01:34:40
655,eabeb7a1-4897-11ec-919c-8f010eb9ad68,factoring,factor_leading_one.html,{'initial_problem': 'x^2+7x+10'},,start new problem,,,,2022-01-26 01:34:47
656,eabeb7a1-4897-11ec-919c-8f010eb9ad68,factoring_polynomials,factor_leading_one.html,{'initial_problem': 'x^2+7x+10'},b_value,input change,x2,INCORRECT,['Extract b value'],2022-01-26 01:35:10
657,eabeb7a1-4897-11ec-919c-8f010eb9ad68,factoring_polynomials,factor_leading_one.html,{'initial_problem': 'x^2+7x+10'},c_value,input change,7x,INCORRECT,['Extract c value'],2022-01-26 01:35:17
658,eabeb7a1-4897-11ec-919c-8f010eb9ad68,factoring_polynomials,factor_leading_one.html,{'initial_problem': 'x^2+7x+10'},b_value,input change,7x,INCORRECT,['Extract b value'],2022-01-26 01:36:01
659,eabeb7a1-4897-11ec-919c-8f010eb9ad68,factoring_polynomials,factor_leading_one.html,{'initial_problem': 'x^2+7x+10'},b_value,input change,7,CORRECT,['Extract b value'],2022-01-26 01:36:08
660,eabeb7a1-4897-11ec-919c-8f010eb9ad68,factoring_polynomials,factor_leading_one.html,{'initial_problem': 'x^2+7x+10'},c_value,input change,17,INCORRECT,['Extract c value'],2022-01-26 01:36:14
661,eabeb7a1-4897-11ec-919c-8f010eb9ad68,factoring_polynomials,factor_leading_one.html,{'initial_problem': 'x^2+7x+10'},c_value,input change,3,INCORRECT,['Extract c value'],2022-01-26 01:36:31
662,eabeb7a1-4897-11ec-919c-8f010eb9ad68,factoring_polynomials,factor_leading_one.html,{'initial_problem': 'x^2+7x+10'},c_value,input change,17x,INCORRECT,['Extract c value'],2022-01-26 01:36:46
663,eabeb7a1-4897-11ec-919c-8f010eb9ad68,factoring_polynomials,factor_leading_one.html,{'initial_problem': 'x^2+7x+10'},c_value,input change,10x,INCORRECT,['Extract c value'],2022-01-26 01:36:55
664,eabeb7a1-4897-11ec-919c-8f010eb9ad68,factoring_polynomials,factor_leading_one.html,{'initial_problem': 'x^2+7x+10'},c_value,input change,10,CORRECT,['Extract c value'],2022-01-26 01:37:49
665,eabeb7a1-4897-11ec-919c-8f010eb9ad68,factoring_polynomials,factor_leading_one.html,{'initial_problem': 'x^2+7x+10'},product_c,input change,x,INCORRECT,['Update r value based on c'],2022-01-26 01:38:00
666,eabeb7a1-4897-11ec-919c-8f010eb9ad68,factoring_polynomials,factor_leading_one.html,{'initial_problem': 'x^2+7x+10'},product_c,input change,1,INCORRECT,['Update r value based on c'],2022-01-26 01:38:11
667,eabeb7a1-4897-11ec-919c-8f010eb9ad68,factoring_polynomials,factor_leading_one.html,{'initial_problem': 'x^2+7x+10'},sum_b,input change,1,INCORRECT,['Update s value based on b'],2022-01-26 01:38:20
668,eabeb7a1-4897-11ec-919c-8f010eb9ad68,factoring_polynomials,factor_leading_one.html,{'initial_problem': 'x^2+7x+10'},sum_b,input change,x2,INCORRECT,['Update s value based on b'],2022-01-26 01:38:30
669,eabeb7a1-4897-11ec-919c-8f010eb9ad68,factoring_polynomials,factor_leading_one.html,{'initial_problem': 'x^2+7x+10'},product_c,input change,x2,INCORRECT,['Update r value based on c'],2022-01-26 01:38:42
670,eabeb7a1-4897-11ec-919c-8f010eb9ad68,factoring_polynomials,factor_leading_one.html,{'initial_problem': 'x^2+7x+10'},product_c,input change,10,HINT,['Update r value based on c'],2022-01-26 01:38:49
671,eabeb7a1-4897-11ec-919c-8f010eb9ad68,factoring_polynomials,factor_leading_one.html,{'initial_problem': 'x^2+7x+10'},product_c,input change,10,HINT,['Update r value based on c'],2022-01-26 01:38:56
672,eabeb7a1-4897-11ec-919c-8f010eb9ad68,factoring_polynomials,factor_leading_one.html,{'initial_problem': 'x^2+7x+10'},product_c,input change,10,HINT,['Update r value based on c'],2022-01-26 01:39:01
673,eabeb7a1-4897-11ec-919c-8f010eb9ad68,factoring_polynomials,factor_leading_one.html,{'initial_problem': 'x^2+7x+10'},product_c,input change,10,CORRECT,['Update r value based on c'],2022-01-26 01:39:13
674,eabeb7a1-4897-11ec-919c-8f010eb9ad68,factoring_polynomials,factor_leading_one.html,{'initial_problem': 'x^2+7x+10'},sum_b,input change,7,CORRECT,['Update s value based on b'],2022-01-26 01:39:37
675,f46be5f9-f63a-11eb-9d0a-0fcdf89dfbb7,factoring,factor_grouping.html,{'initial_problem': '20x^2+41x+20'},,start new problem,,,,2022-01-26 01:39:38
676,eabeb7a1-4897-11ec-919c-8f010eb9ad68,factoring_polynomials,factor_leading_one.html,{'initial_problem': 'x^2+7x+10'},factor_1_b_1,input change,2,HINT,['Compute first factor'],2022-01-26 01:39:46
677,eabeb7a1-4897-11ec-919c-8f010eb9ad68,factoring_polynomials,factor_leading_one.html,{'initial_problem': 'x^2+7x+10'},factor_1_b_1,input change,2,HINT,['Compute first factor'],2022-01-26 01:39:49
678,f46be5f9-f63a-11eb-9d0a-0fcdf89dfbb7,factoring_polynomials,factor_grouping.html,{'initial_problem': '20x^2+41x+20'},a_value,input change,20,CORRECT,['Extract a value'],2022-01-26 01:39:54
679,f46be5f9-f63a-11eb-9d0a-0fcdf89dfbb7,factoring_polynomials,factor_grouping.html,{'initial_problem': '20x^2+41x+20'},b_value,input change,41,CORRECT,['Extract b value'],2022-01-26 01:39:57
680,eabeb7a1-4897-11ec-919c-8f010eb9ad68,factoring_polynomials,factor_leading_one.html,{'initial_problem': 'x^2+7x+10'},factor_1_b_1,input change,2,CORRECT,['Compute first factor'],2022-01-26 01:40:01
681,f46be5f9-f63a-11eb-9d0a-0fcdf89dfbb7,factoring_polynomials,factor_grouping.html,{'initial_problem': '20x^2+41x+20'},c_value,input change,20,CORRECT,['Extract c value'],2022-01-26 01:40:03
682,eabeb7a1-4897-11ec-919c-8f010eb9ad68,factoring_polynomials,factor_leading_one.html,{'initial_problem': 'x^2+7x+10'},factor_2_b_1,input change,5,HINT,['Compute second factor'],2022-01-26 01:40:06
683,f46be5f9-f63a-11eb-9d0a-0fcdf89dfbb7,factoring_polynomials,factor_grouping.html,{'initial_problem': '20x^2+41x+20'},product_ac,input change,41,INCORRECT,['Update r value based on product of ac'],2022-01-26 01:40:18
684,eabeb7a1-4897-11ec-919c-8f010eb9ad68,factoring_polynomials,factor_leading_one.html,{'initial_problem': 'x^2+7x+10'},factor_2_b_1,input change,5,HINT,['Compute second factor'],2022-01-26 01:40:19
685,f46be5f9-f63a-11eb-9d0a-0fcdf89dfbb7,factoring_polynomials,factor_grouping.html,{'initial_problem': '20x^2+41x+20'},sum_b,input change,20,INCORRECT,['Update s value based on b'],2022-01-26 01:40:25
686,eabeb7a1-4897-11ec-919c-8f010eb9ad68,factoring_polynomials,factor_leading_one.html,{'initial_problem': 'x^2+7x+10'},factor_2_b_1,input change,4,INCORRECT,['Compute second factor'],2022-01-26 01:40:28
687,eabeb7a1-4897-11ec-919c-8f010eb9ad68,factoring_polynomials,factor_leading_one.html,{'initial_problem': 'x^2+7x+10'},factor_2_b_1,input change,5,HINT,['Compute second factor'],2022-01-26 01:40:33
688,eabeb7a1-4897-11ec-919c-8f010eb9ad68,factoring_polynomials,factor_leading_one.html,{'initial_problem': 'x^2+7x+10'},factor_2_b_1,input change,5,HINT,['Compute second factor'],2022-01-26 01:40:35
689,eabeb7a1-4897-11ec-919c-8f010eb9ad68,factoring_polynomials,factor_leading_one.html,{'initial_problem': 'x^2+7x+10'},factor_2_b_1,input change,5,HINT,['Compute second factor'],2022-01-26 01:40:35
690,f46be5f9-f63a-11eb-9d0a-0fcdf89dfbb7,factoring_polynomials,factor_grouping.html,{'initial_problem': '20x^2+41x+20'},product_ac,input change,20,INCORRECT,['Update r value based on product of ac'],2022-01-26 01:40:35
691,f46be5f9-f63a-11eb-9d0a-0fcdf89dfbb7,factoring_polynomials,factor_grouping.html,{'initial_problem': '20x^2+41x+20'},product_ac,input change,40,INCORRECT,['Update r value based on product of ac'],2022-01-26 01:40:43
692,eabeb7a1-4897-11ec-919c-8f010eb9ad68,factoring_polynomials,factor_leading_one.html,{'initial_problem': 'x^2+7x+10'},factor_2_b_1,input change,5,HINT,['Compute second factor'],2022-01-26 01:40:52
693,eabeb7a1-4897-11ec-919c-8f010eb9ad68,factoring_polynomials,factor_leading_one.html,{'initial_problem': 'x^2+7x+10'},factor_2_b_1,input change,5,HINT,['Compute second factor'],2022-01-26 01:40:53
694,eabeb7a1-4897-11ec-919c-8f010eb9ad68,factoring_polynomials,factor_leading_one.html,{'initial_problem': 'x^2+7x+10'},factor_2_b_1,input change,20,INCORRECT,['Compute second factor'],2022-01-26 01:41:06
695,eabeb7a1-4897-11ec-919c-8f010eb9ad68,factoring_polynomials,factor_leading_one.html,{'initial_problem': 'x^2+7x+10'},factor_2_b_1,input change,100,INCORRECT,['Compute second factor'],2022-01-26 01:41:15
696,f46be5f9-f63a-11eb-9d0a-0fcdf89dfbb7,factoring_polynomials,factor_grouping.html,{'initial_problem': '20x^2+41x+20'},product_ac,input change,61,INCORRECT,['Update r value based on product of ac'],2022-01-26 01:41:31
697,eabeb7a1-4897-11ec-919c-8f010eb9ad68,factoring_polynomials,factor_leading_one.html,{'initial_problem': 'x^2+7x+10'},factor_2_b_1,input change,5,HINT,['Compute second factor'],2022-01-26 01:41:37
698,eabeb7a1-4897-11ec-919c-8f010eb9ad68,factoring_polynomials,factor_leading_one.html,{'initial_problem': 'x^2+7x+10'},factor_2_b_1,input change,5,HINT,['Compute second factor'],2022-01-26 01:41:46
699,eabeb7a1-4897-11ec-919c-8f010eb9ad68,factoring_polynomials,factor_leading_one.html,{'initial_problem': 'x^2+7x+10'},factor_2_b_1,input change,5,HINT,['Compute second factor'],2022-01-26 01:41:46
700,eabeb7a1-4897-11ec-919c-8f010eb9ad68,factoring_polynomials,factor_leading_one.html,{'initial_problem': 'x^2+7x+10'},factor_2_b_1,input change,5,HINT,['Compute second factor'],2022-01-26 01:41:47
701,eabeb7a1-4897-11ec-919c-8f010eb9ad68,factoring_polynomials,factor_leading_one.html,{'initial_problem': 'x^2+7x+10'},factor_2_b_1,input change,5,HINT,['Compute second factor'],2022-01-26 01:41:48
702,eabeb7a1-4897-11ec-919c-8f010eb9ad68,factoring_polynomials,factor_leading_one.html,{'initial_problem': 'x^2+7x+10'},factor_2_b_1,input change,5,HINT,['Compute second factor'],2022-01-26 01:41:58
703,eabeb7a1-4897-11ec-919c-8f010eb9ad68,factoring_polynomials,factor_leading_one.html,{'initial_problem': 'x^2+7x+10'},factor_2_b_1,input change,4,INCORRECT,['Compute second factor'],2022-01-26 01:42:22
704,eabeb7a1-4897-11ec-919c-8f010eb9ad68,factoring_polynomials,factor_leading_one.html,{'initial_problem': 'x^2+7x+10'},factor_2_b_1,input change,20,INCORRECT,['Compute second factor'],2022-01-26 01:42:32
705,eabeb7a1-4897-11ec-919c-8f010eb9ad68,factoring_polynomials,factor_leading_one.html,{'initial_problem': 'x^2+7x+10'},factor_2_b_1,input change,5,HINT,['Compute second factor'],2022-01-26 01:43:07
706,f46be5f9-f63a-11eb-9d0a-0fcdf89dfbb7,factoring_polynomials,factor_grouping.html,{'initial_problem': '20x^2+41x+20'},product_ac,input change,400,HINT,['Update r value based on product of ac'],2022-01-26 01:43:08
707,f46be5f9-f63a-11eb-9d0a-0fcdf89dfbb7,factoring_polynomials,factor_grouping.html,{'initial_problem': '20x^2+41x+20'},product_ac,input change,400,HINT,['Update r value based on product of ac'],2022-01-26 01:43:18
708,f46be5f9-f63a-11eb-9d0a-0fcdf89dfbb7,factoring_polynomials,factor_grouping.html,{'initial_problem': '20x^2+41x+20'},product_ac,input change,1,INCORRECT,['Update r value based on product of ac'],2022-01-26 01:43:26
709,f46be5f9-f63a-11eb-9d0a-0fcdf89dfbb7,factoring_polynomials,factor_grouping.html,{'initial_problem': '20x^2+41x+20'},product_ac,input change,2,INCORRECT,['Update r value based on product of ac'],2022-01-26 01:43:29
710,f46be5f9-f63a-11eb-9d0a-0fcdf89dfbb7,factoring_polynomials,factor_grouping.html,{'initial_problem': '20x^2+41x+20'},product_ac,input change,3,INCORRECT,['Update r value based on product of ac'],2022-01-26 01:43:32
711,f46be5f9-f63a-11eb-9d0a-0fcdf89dfbb7,factoring_polynomials,factor_grouping.html,{'initial_problem': '20x^2+41x+20'},product_ac,input change,4,INCORRECT,['Update r value based on product of ac'],2022-01-26 01:43:36
712,f46be5f9-f63a-11eb-9d0a-0fcdf89dfbb7,factoring_polynomials,factor_grouping.html,{'initial_problem': '20x^2+41x+20'},product_ac,input change,5,INCORRECT,['Update r value based on product of ac'],2022-01-26 01:43:38
713,f46be5f9-f63a-11eb-9d0a-0fcdf89dfbb7,factoring_polynomials,factor_grouping.html,{'initial_problem': '20x^2+41x+20'},product_ac,input change,6,INCORRECT,['Update r value based on product of ac'],2022-01-26 01:43:41
714,f46be5f9-f63a-11eb-9d0a-0fcdf89dfbb7,factoring_polynomials,factor_grouping.html,{'initial_problem': '20x^2+41x+20'},product_ac,input change,7,INCORRECT,['Update r value based on product of ac'],2022-01-26 01:43:45
715,f46be5f9-f63a-11eb-9d0a-0fcdf89dfbb7,factoring_polynomials,factor_grouping.html,{'initial_problem': '20x^2+41x+20'},product_ac,input change,8,INCORRECT,['Update r value based on product of ac'],2022-01-26 01:43:51
716,eabeb7a1-4897-11ec-919c-8f010eb9ad68,factoring_polynomials,factor_leading_one.html,{'initial_problem': 'x^2+7x+10'},factor_2_b_1,input change,5,HINT,['Compute second factor'],2022-01-26 01:44:00
717,eabeb7a1-4897-11ec-919c-8f010eb9ad68,factoring_polynomials,factor_leading_one.html,{'initial_problem': 'x^2+7x+10'},factor_2_b_1,input change,5,HINT,['Compute second factor'],2022-01-26 01:44:00
718,eabeb7a1-4897-11ec-919c-8f010eb9ad68,factoring_polynomials,factor_leading_one.html,{'initial_problem': 'x^2+7x+10'},factor_2_b_1,input change,70,INCORRECT,['Compute second factor'],2022-01-26 01:44:26
719,eabeb7a1-4897-11ec-919c-8f010eb9ad68,factoring_polynomials,factor_leading_one.html,{'initial_problem': 'x^2+7x+10'},factor_2_b_1,input change,x,INCORRECT,['Compute second factor'],2022-01-26 01:45:03
720,f46be5f9-f63a-11eb-9d0a-0fcdf89dfbb7,factoring_polynomials,factor_grouping.html,{'initial_problem': '20x^2+41x+20'},product_ac,input change,4,INCORRECT,['Update r value based on product of ac'],2022-01-26 01:45:45
721,f46be5f9-f63a-11eb-9d0a-0fcdf89dfbb7,factoring_polynomials,factor_grouping.html,{'initial_problem': '20x^2+41x+20'},product_ac,input change,20,INCORRECT,['Update r value based on product of ac'],2022-01-26 01:45:53
722,f46be5f9-f63a-11eb-9d0a-0fcdf89dfbb7,factoring_polynomials,factor_grouping.html,{'initial_problem': '20x^2+41x+20'},sum_b,input change,9,INCORRECT,['Update s value based on b'],2022-01-26 01:45:56
723,f46be5f9-f63a-11eb-9d0a-0fcdf89dfbb7,factoring_polynomials,factor_grouping.html,{'initial_problem': '20x^2+41x+20'},sum_b,input change,10,INCORRECT,['Update s value based on b'],2022-01-26 01:46:09
724,f46be5f9-f63a-11eb-9d0a-0fcdf89dfbb7,factoring_polynomials,factor_grouping.html,{'initial_problem': '20x^2+41x+20'},sum_b,input change,8,INCORRECT,['Update s value based on b'],2022-01-26 01:46:14
725,eabeb7a1-4897-11ec-919c-8f010eb9ad68,factoring_polynomials,factor_leading_one.html,{'initial_problem': 'x^2+7x+10'},final_answer,input change,(x+2)(x+5),INCORRECT,[],2022-01-26 01:46:28
726,f46be5f9-f63a-11eb-9d0a-0fcdf89dfbb7,factoring_polynomials,factor_grouping.html,{'initial_problem': '20x^2+41x+20'},sum_b,input change,4,INCORRECT,['Update s value based on b'],2022-01-26 01:46:31
727,f46be5f9-f63a-11eb-9d0a-0fcdf89dfbb7,factoring_polynomials,factor_grouping.html,{'initial_problem': '20x^2+41x+20'},sum_b,input change,41,CORRECT,['Update s value based on b'],2022-01-26 01:46:37
728,f46be5f9-f63a-11eb-9d0a-0fcdf89dfbb7,factoring_polynomials,factor_grouping.html,{'initial_problem': '20x^2+41x+20'},product_ac,input change,400,CORRECT,['Update r value based on product of ac'],2022-01-26 01:46:59
729,f46be5f9-f63a-11eb-9d0a-0fcdf89dfbb7,factoring_polynomials,factor_grouping.html,{'initial_problem': '20x^2+41x+20'},factor_1_ac_1,input change,25,CORRECT,['Compute first factor'],2022-01-26 01:47:14
730,f46be5f9-f63a-11eb-9d0a-0fcdf89dfbb7,factoring_polynomials,factor_grouping.html,{'initial_problem': '20x^2+41x+20'},factor_2_ac_1,input change,16,CORRECT,['Compute second factor'],2022-01-26 01:47:16
731,f46be5f9-f63a-11eb-9d0a-0fcdf89dfbb7,factoring_polynomials,factor_grouping.html,{'initial_problem': '20x^2+41x+20'},sum_factor_1,input change,41,CORRECT,['Compute sum of factors'],2022-01-26 01:47:21
732,f46be5f9-f63a-11eb-9d0a-0fcdf89dfbb7,factoring_polynomials,factor_grouping.html,{'initial_problem': '20x^2+41x+20'},sum_b_1,input change,checked,CORRECT,['Determine if sum of factors equals s'],2022-01-26 01:47:21
733,eabeb7a1-4897-11ec-919c-8f010eb9ad68,factoring_polynomials,factor_leading_one.html,{'initial_problem': 'x^2+7x+10'},final_answer,input change,x(x+5)+2(x+5),INCORRECT,[],2022-01-26 01:47:23
734,f46be5f9-f63a-11eb-9d0a-0fcdf89dfbb7,factoring_polynomials,factor_grouping.html,{'initial_problem': '20x^2+41x+20'},factor_1_ac_2,input change,49,INCORRECT,[],2022-01-26 01:47:28
735,f46be5f9-f63a-11eb-9d0a-0fcdf89dfbb7,factoring_polynomials,factor_grouping.html,{'initial_problem': '20x^2+41x+20'},factor_2_ac_2,input change,20,INCORRECT,[],2022-01-26 01:47:31
736,eabeb7a1-4897-11ec-919c-8f010eb9ad68,factoring_polynomials,factor_leading_one.html,{'initial_problem': 'x^2+7x+10'},done,button click,,INCORRECT,[],2022-01-26 01:47:33
737,f46be5f9-f63a-11eb-9d0a-0fcdf89dfbb7,factoring_polynomials,factor_grouping.html,{'initial_problem': '20x^2+41x+20'},factor_1_ac_2,input change,40,INCORRECT,[],2022-01-26 01:47:34
738,eabeb7a1-4897-11ec-919c-8f010eb9ad68,factoring_polynomials,factor_leading_one.html,{'initial_problem': 'x^2+7x+10'},done,button click,,INCORRECT,[],2022-01-26 01:47:37
739,eabeb7a1-4897-11ec-919c-8f010eb9ad68,factoring_polynomials,factor_leading_one.html,{'initial_problem': 'x^2+7x+10'},done,button click,,INCORRECT,[],2022-01-26 01:47:37
740,eabeb7a1-4897-11ec-919c-8f010eb9ad68,factoring_polynomials,factor_leading_one.html,{'initial_problem': 'x^2+7x+10'},done,button click,,INCORRECT,[],2022-01-26 01:47:38
741,f46be5f9-f63a-11eb-9d0a-0fcdf89dfbb7,factoring_polynomials,factor_grouping.html,{'initial_problem': '20x^2+41x+20'},factor_1_ac_2,input change,400,INCORRECT,[],2022-01-26 01:47:43
742,f46be5f9-f63a-11eb-9d0a-0fcdf89dfbb7,factoring_polynomials,factor_grouping.html,{'initial_problem': '20x^2+41x+20'},factor_2_ac_2,input change,1,INCORRECT,[],2022-01-26 01:47:48
